Index,Centroid_1,Centroid_2,Apex_1,Apex_2,Label
1,297.7106942,1092.262813,273.6317565,1003.801315,-1
2,342.7799439,2459.102061,444.448042,2558.943998,1
3,396.1024682,1663.620063,533.5019673,1653.073385,1
4,474.9638838,433.8275982,521.7210279,313.7874402,0
5,757.9490474,2680.691255,606.7843985,2663.578692,0
6,720.2542317,1225.839266,656.519622,1318.879091,-1
7,834.9211301,2194.922427,796.1156846,2344.304965,1
8,895.1298551,1830.940711,789.6603754,1929.918125,0
9,915.2207043,450.9437098,988.7626523,399.1295628,-1
10,1088.382463,1171.207155,1155.162919,1278.166629,1
11,1112.306963,1547.478645,1024.912384,1533.620821,-1
12,1219.586384,375.4927053,1074.412869,368.7162535,0
13,1200.841195,664.0785009,1251.75782,770.9553757,1
14,1249.314255,3371.633941,1252.447364,3266.225825,-1
15,1341.542082,2431.228024,1344.024728,2339.507497,0
16,1456.443488,1892.256527,1544.124644,1798.846005,1
17,1531.188548,1475.913557,1402.591989,1528.647299,0
18,1504.428522,2721.927022,1527.355511,2844.18064,0
19,1564.230857,3312.429625,1508.752484,3435.912431,0
20,1630.586203,982.7108169,1489.18116,938.9988124,0
21,1691.990947,2329.898972,1656.212287,2230.03132,-1
22,1780.57217,1868.9272,1911.358385,1928.304298,0
23,1834.161704,3155.590098,1876.103594,3270.113681,1
24,2002.715708,607.4962161,1909.7739,716.9801876,0
25,2016.735021,1998.786827,2145.847493,2052.965122,0
26,2029.414365,2843.332068,2028.199482,2972.817348,0
27,2057.716098,1280.746078,1958.951619,1370.991042,0
28,2067.401386,1761.638343,2141.255421,1863.149688,0
29,2291.689116,2478.3827,2376.786182,2578.353939,0
30,2342.432854,1018.576446,2417.337261,1122.799072,0
31,2420.937492,434.7301215,2465.634711,541.8945953,0
32,2451.548685,1939.745041,2368.555662,1865.306348,0
33,2469.483518,3388.28228,2564.034164,3366.356474,0
34,2556.637315,2356.935014,2475.053594,2463.698844,0
35,2563.639505,2930.914368,2622.67478,2825.357545,0
36,2570.199449,1581.869864,2701.752318,1534.721158,1
37,2679.486712,689.5302111,2794.151267,665.1469886,1
38,2785.24618,1953.161353,2906.150883,1965.950487,1
39,2813.1286,1329.461349,2751.003393,1458.167059,0
40,2822.361822,318.0890768,2861.37451,478.8673032,0
41,2874.456205,2569.469287,2973.872945,2667.290495,0
42,2959.581582,3263.989758,2973.960972,3396.843139,-1
43,3047.486681,1248.14411,2951.176665,1279.06157,-1
44,3149.520528,929.6897043,3276.304184,971.6421376,1
45,3153.030844,1965.110634,3071.362786,1893.621681,0
46,3218.897483,1613.057121,3089.804431,1633.384692,0
47,3329.895323,573.5546163,3464.256381,583.9274612,0
48,3402.317655,2665.644427,3465.958235,2572.690872,0
49,3462.476243,2954.142614,3372.811057,2967.990537,0
50,3581.87147,1312.17611,3657.123416,1267.324644,-1
51,3618.006684,224.2264474,3697.337058,332.5518505,0
52,3755.086556,482.8248598,3810.818461,603.5427987,1
53,3747.618363,3262.831709,3812.945779,3192.767339,-1
54,3771.432437,1013.266304,3708.707205,1114.289801,0
55,3800.604856,2623.513192,3829.18675,2742.436163,1
56,3843.113328,2898.969778,3926.69,2817.98,1
57,3663.512315,2043.208603,3535.48485,1947.523514,0
58,3882.694549,2158.505949,3762.476997,2095.980955,0
59,3950.28204,1400.026856,3835.216596,1368.761026,1
60,4192.713914,2679.032408,4165.09757,2780.463803,-1
61,4229.238329,2077.81269,4150.91056,2068.120427,-1
62,4291.923427,649.725028,4227.670056,531.5367582,1
63,4319.222146,1555.410471,4353.533915,1688.269491,0
